: chemical element names
enhance enhancing examine examining
enhance enhancing exhibit exhibiting
enhance enhancing explain explaining
enhance enhancing find finding
enhance enhancing follow following
enhance enhancing generate generating
enhance enhancing have having
enhance enhancing improve improving
enhance enhancing include including
enhance enhancing increase increasing
enhance enhancing indicate indicating
enhance enhancing investigate investigating
enhance enhancing make making
enhance enhancing measure measuring
enhance enhancing mix mixing
enhance enhancing modify modifying
enhance enhancing observe observing
enhance enhancing obtain obtaining
enhance enhancing perform performing
enhance enhancing prepare preparing
enhance enhancing present presenting
enhance enhancing produce producing
enhance enhancing propose proposing
enhance enhancing provide providing
enhance enhancing reduce reducing
enhance enhancing reinforce reinforcing
enhance enhancing report reporting
enhance enhancing reveal revealing
enhance enhancing show showing
enhance enhancing study studying
enhance enhancing suggest suggesting
enhance enhancing transfer transferring
enhance enhancing treat treating
enhance enhancing use using
enhance enhancing yield yielding
establish establishing achieve achieving
establish establishing allow allowing
establish establishing analyze analyzing
establish establishing anneal annealing
establish establishing apply applying
establish establishing approach approaching
establish establishing behave behaving
establish establishing calculate calculating
establish establishing carry carrying
establish establishing change changing
establish establishing combine combining
establish establishing compare comparing
establish establishing confirm confirming
establish establishing consider considering
establish establishing control controlling
establish establishing correspond corresponding
establish establishing decrease decreasing
establish establishing demonstrate demonstrating
establish establishing depend depending
establish establishing deposit depositing
establish establishing derive deriving
establish establishing design designing
establish establishing detect detecting
establish establishing determine determining
establish establishing develop developing
establish establishing discuss discussing
establish establishing enhance enhancing
establish establishing evaluate evaluating
establish establishing examine examining
establish establishing exhibit exhibiting
establish establishing explain explaining
establish establishing find finding
establish establishing follow following
establish establishing generate generating
establish establishing have having
establish establishing improve improving
establish establishing include including
establish establishing increase increasing
establish establishing indicate indicating
establish establishing investigate investigating
establish establishing make making
establish establishing measure measuring
establish establishing mix mixing
establish establishing modify modifying
establish establishing observe observing
establish establishing obtain obtaining
establish establishing perform performing
establish establishing prepare preparing
establish establishing present presenting
establish establishing produce producing
establish establishing propose proposing
establish establishing provide providing
establish establishing reduce reducing
establish establishing reinforce reinforcing
establish establishing report reporting
establish establishing reveal revealing
establish establishing show showing
establish establishing study studying
establish establishing suggest suggesting
establish establishing transfer transferring
establish establishing treat treating
establish establishing use using
establish establishing yield yielding
evaluate evaluating achieve achieving
evaluate evaluating allow allowing
evaluate evaluating analyze analyzing
evaluate evaluating anneal annealing
evaluate evaluating apply applying
evaluate evaluating approach approaching
evaluate evaluating behave behaving
evaluate evaluating calculate calculating
evaluate evaluating carry carrying
evaluate evaluating change changing
evaluate evaluating combine combining
evaluate evaluating compare comparing
evaluate evaluating confirm confirming
evaluate evaluating consider considering
evaluate evaluating control controlling
evaluate evaluating correspond corresponding
evaluate evaluating decrease decreasing
evaluate evaluating demonstrate demonstrating
evaluate evaluating depend depending
evaluate evaluating deposit depositing
evaluate evaluating derive deriving
evaluate evaluating design designing
evaluate evaluating detect detecting
evaluate evaluating determine determining
evaluate evaluating develop developing
evaluate evaluating discuss discussing
evaluate evaluating enhance enhancing
evaluate evaluating establish establishing
evaluate evaluating examine examining
evaluate evaluating exhibit exhibiting
evaluate evaluating explain explaining
evaluate evaluating find finding
evaluate evaluating follow following
evaluate evaluating generate generating
evaluate evaluating have having
evaluate evaluating improve improving
evaluate evaluating include including
evaluate evaluating increase increasing
evaluate evaluating indicate indicating
evaluate evaluating investigate investigating
evaluate evaluating make making
evaluate evaluating measure measuring
evaluate evaluating mix mixing
evaluate evaluating modify modifying
evaluate evaluating observe observing
evaluate evaluating obtain obtaining
evaluate evaluating perform performing
evaluate evaluating prepare preparing
evaluate evaluating present presenting
evaluate evaluating produce producing
evaluate evaluating propose proposing
evaluate evaluating provide providing
evaluate evaluating reduce reducing
evaluate evaluating reinforce reinforcing
evaluate evaluating report reporting
evaluate evaluating reveal revealing
evaluate evaluating show showing
evaluate evaluating study studying
evaluate evaluating suggest suggesting
evaluate evaluating transfer transferring
evaluate evaluating treat treating
evaluate evaluating use using
evaluate evaluating yield yielding
examine examining achieve achieving
examine examining allow allowing
examine examining analyze analyzing
examine examining anneal annealing
examine examining apply applying
examine examining approach approaching
examine examining behave behaving
examine examining calculate calculating
examine examining carry carrying
examine examining change changing
examine examining combine combining
examine examining compare comparing
examine examining confirm confirming
examine examining consider considering
examine examining control controlling
examine examining correspond corresponding
examine examining decrease decreasing
examine examining demonstrate demonstrating
examine examining depend depending
examine examining deposit depositing
examine examining derive deriving
examine examining design designing
examine examining detect detecting
examine examining determine determining
examine examining develop developing
examine examining discuss discussing
examine examining enhance enhancing
examine examining establish establishing
examine examining evaluate evaluating
examine examining exhibit exhibiting
examine examining explain explaining
examine examining find finding
examine examining follow following
examine examining generate generating
examine examining have having
examine examining improve improving
examine examining include including
examine examining increase increasing
examine examining indicate indicating
examine examining investigate investigating
examine examining make making
examine examining measure measuring
examine examining mix mixing
examine examining modify modifying
examine examining observe observing
examine examining obtain obtaining
examine examining perform performing
examine examining prepare preparing
examine examining present presenting
examine examining produce producing
examine examining propose proposing
examine examining provide providing
examine examining reduce reducing
examine examining reinforce reinforcing
examine examining report reporting
examine examining reveal revealing
examine examining show showing
examine examining study studying
examine examining suggest suggesting
examine examining transfer transferring
examine examining treat treating
examine examining use using
examine examining yield yielding
exhibit exhibiting achieve achieving
exhibit exhibiting allow allowing
exhibit exhibiting analyze analyzing
exhibit exhibiting anneal annealing
exhibit exhibiting apply applying
exhibit exhibiting approach approaching
exhibit exhibiting behave behaving
exhibit exhibiting calculate calculating
exhibit exhibiting carry carrying
exhibit exhibiting change changing
exhibit exhibiting combine combining
exhibit exhibiting compare comparing
exhibit exhibiting confirm confirming
exhibit exhibiting consider considering
exhibit exhibiting control controlling
exhibit exhibiting correspond corresponding
exhibit exhibiting decrease decreasing
exhibit exhibiting demonstrate demonstrating
exhibit exhibiting depend depending
exhibit exhibiting deposit depositing
exhibit exhibiting derive deriving
exhibit exhibiting design designing
exhibit exhibiting detect detecting
exhibit exhibiting determine determining
exhibit exhibiting develop developing
exhibit exhibiting discuss discussing
exhibit exhibiting enhance enhancing
exhibit exhibiting establish establishing
exhibit exhibiting evaluate evaluating
exhibit exhibiting examine examining
exhibit exhibiting explain explaining
exhibit exhibiting find finding
exhibit exhibiting follow following
exhibit exhibiting generate generating
exhibit exhibiting have having
exhibit exhibiting improve improving
exhibit exhibiting include including
exhibit exhibiting increase increasing
exhibit exhibiting indicate indicating
exhibit exhibiting investigate investigating
exhibit exhibiting make making
exhibit exhibiting measure measuring
exhibit exhibiting mix mixing
exhibit exhibiting modify modifying
exhibit exhibiting observe observing
exhibit exhibiting obtain obtaining
exhibit exhibiting perform performing
exhibit exhibiting prepare preparing
exhibit exhibiting present presenting
exhibit exhibiting produce producing
exhibit exhibiting propose proposing
exhibit exhibiting provide providing
exhibit exhibiting reduce reducing
exhibit exhibiting reinforce reinforcing
exhibit exhibiting report reporting
exhibit exhibiting reveal revealing
exhibit exhibiting show showing
exhibit exhibiting study studying
exhibit exhibiting suggest suggesting
exhibit exhibiting transfer transferring
exhibit exhibiting treat treating
exhibit exhibiting use using
exhibit exhibiting yield yielding
explain explaining achieve achieving
explain explaining allow allowing
explain explaining analyze analyzing
explain explaining anneal annealing
explain explaining apply applying
explain explaining approach approaching
explain explaining behave behaving
explain explaining calculate calculating
explain explaining carry carrying
explain explaining change changing
explain explaining combine combining
explain explaining compare comparing
explain explaining confirm confirming
explain explaining consider considering
explain explaining control controlling
explain explaining correspond corresponding
explain explaining decrease decreasing
explain explaining demonstrate demonstrating
explain explaining depend depending
explain explaining deposit depositing
explain explaining derive deriving
explain explaining design designing
explain explaining detect detecting
explain explaining determine determining
explain explaining develop developing
explain explaining discuss discussing
explain explaining enhance enhancing
explain explaining establish establishing
explain explaining evaluate evaluating
explain explaining examine examining
explain explaining exhibit exhibiting
explain explaining find finding
explain explaining follow following
explain explaining generate generating
explain explaining have having
explain explaining improve improving
explain explaining include including
explain explaining increase increasing
explain explaining indicate indicating
explain explaining investigate investigating
explain explaining make making
explain explaining measure measuring
explain explaining mix mixing
explain explaining modify modifying
explain explaining observe observing
explain explaining obtain obtaining
explain explaining perform performing
explain explaining prepare preparing
explain explaining present presenting
explain explaining produce producing
explain explaining propose proposing
explain explaining provide providing
explain explaining reduce reducing
explain explaining reinforce reinforcing
explain explaining report reporting
explain explaining reveal revealing
explain explaining show showing
explain explaining study studying
explain explaining suggest suggesting
explain explaining transfer transferring
explain explaining treat treating
explain explaining use using
explain explaining yield yielding
find finding achieve achieving
find finding allow allowing
find finding analyze analyzing
find finding anneal annealing
find finding apply applying
find finding approach approaching
find finding behave behaving
find finding calculate calculating
find finding carry carrying
find finding change changing
find finding combine combining
find finding compare comparing
find finding confirm confirming
find finding consider considering
find finding control controlling
find finding correspond corresponding
find finding decrease decreasing
find finding demonstrate demonstrating
find finding depend depending
find finding deposit depositing
find finding derive deriving
find finding design designing
find finding detect detecting
find finding determine determining
find finding develop developing
find finding discuss discussing
find finding enhance enhancing
find finding establish establishing
find finding evaluate evaluating
find finding examine examining
find finding exhibit exhibiting
find finding explain explaining
find finding follow following
find finding generate generating
find finding have having
find finding improve improving
find finding include including
find finding increase increasing
find finding indicate indicating
find finding investigate investigating
find finding make making
find finding measure measuring
find finding mix mixing
find finding modify modifying
find finding observe observing
find finding obtain obtaining
find finding perform performing
find finding prepare preparing
find finding present presenting
find finding produce producing
find finding propose proposing
find finding provide providing
find finding reduce reducing
find finding reinforce reinforcing
find finding report reporting
find finding reveal revealing
find finding show showing
find finding study studying
find finding suggest suggesting
find finding transfer transferring
find finding treat treating
find finding use using
find finding yield yielding
follow following achieve achieving
follow following allow allowing
follow following analyze analyzing
follow following anneal annealing
follow following apply applying
follow following approach approaching
follow following behave behaving
follow following calculate calculating
follow following carry carrying
follow following change changing
follow following combine combining
follow following compare comparing
follow following confirm confirming
follow following consider considering
follow following control controlling
follow following correspond corresponding
follow following decrease decreasing
follow following demonstrate demonstrating
follow following depend depending
follow following deposit depositing
follow following derive deriving
follow following design designing
follow following detect detecting
follow following determine determining
follow following develop developing
follow following discuss discussing
follow following enhance enhancing
follow following establish establishing
follow following evaluate evaluating
follow following examine examining
follow following exhibit exhibiting
follow following explain explaining
follow following find finding
follow following generate generating
follow following have having
follow following improve improving
follow following include including
follow following increase increasing
follow following indicate indicating
follow following investigate investigating
follow following make making
follow following measure measuring
follow following mix mixing
follow following modify modifying
follow following observe observing
follow following obtain obtaining
follow following perform performing
follow following prepare preparing
follow following present presenting
follow following produce producing
follow following propose proposing
follow following provide providing
follow following reduce reducing
follow following reinforce reinforcing
follow following report reporting
follow following reveal revealing
follow following show showing
follow following study studying
follow following suggest suggesting
follow following transfer transferring
follow following treat treating
follow following use using
follow following yield yielding
generate generating achieve achieving
generate generating allow allowing
generate generating analyze analyzing
generate generating anneal annealing
generate generating apply applying
generate generating approach approaching
generate generating behave behaving
generate generating calculate calculating
generate generating carry carrying
generate generating change changing
generate generating combine combining
generate generating compare comparing
generate generating confirm confirming
generate generating consider considering
generate generating control controlling
generate generating correspond corresponding
generate generating decrease decreasing
generate generating demonstrate demonstrating
generate generating depend depending
generate generating deposit depositing
generate generating derive deriving
generate generating design designing
generate generating detect detecting
generate generating determine determining
generate generating develop developing
generate generating discuss discussing
generate generating enhance enhancing
generate generating establish establishing
generate generating evaluate evaluating
generate generating examine examining
generate generating exhibit exhibiting
generate generating explain explaining
generate generating find finding
generate generating follow following
generate generating have having
generate generating improve improving
generate generating include including
generate generating increase increasing
generate generating indicate indicating
generate generating investigate investigating
generate generating make making
generate generating measure measuring
generate generating mix mixing
generate generating modify modifying
generate generating observe observing
generate generating obtain obtaining
generate generating perform performing
generate generating prepare preparing
generate generating present presenting
generate generating produce producing
generate generating propose proposing
generate generating provide providing
generate generating reduce reducing
generate generating reinforce reinforcing
generate generating report reporting
generate generating reveal revealing
generate generating show showing
generate generating study studying
generate generating suggest suggesting
generate generating transfer transferring
generate generating treat treating
generate generating use using
generate generating yield yielding
have having achieve achieving
have having allow allowing
have having analyze analyzing
have having anneal annealing
have having apply applying
have having approach approaching
have having behave behaving
have having calculate calculating
have having carry carrying
have having change changing
have having combine combining
have having compare comparing
have having confirm confirming
have having consider considering
have having control controlling
have having correspond corresponding
have having decrease decreasing
have having demonstrate demonstrating
have having depend depending
have having deposit depositing
have having derive deriving
have having design designing
have having detect detecting
have having determine determining
have having develop developing
have having discuss discussing
have having enhance enhancing
have having establish establishing
have having evaluate evaluating
have having examine examining
have having exhibit exhibiting
have having explain explaining
have having find finding
have having follow following
have having generate generating
have having improve improving
have having include including
have having increase increasing
have having indicate indicating
have having investigate investigating
have having make making
have having measure measuring
have having mix mixing
have having modify modifying
have having observe observing
have having obtain obtaining
have having perform performing
have having prepare preparing
have having present presenting
have having produce producing
have having propose proposing
have having provide providing
have having reduce reducing
have having reinforce reinforcing
have having report reporting
have having reveal revealing
have having show showing
have having study studying
have having suggest suggesting
have having transfer transferring
have having treat treating
have having use using
have having yield yielding
improve improving achieve achieving
improve improving allow allowing
improve improving analyze analyzing
improve improving anneal annealing
improve improving apply applying
improve improving approach approaching
improve improving behave behaving
improve improving calculate calculating
improve improving carry carrying
improve improving change changing
improve improving combine combining
improve improving compare comparing
improve improving confirm confirming
improve improving consider considering
improve improving control controlling
improve improving correspond corresponding
improve improving decrease decreasing
improve improving demonstrate demonstrating
improve improving depend depending
improve improving deposit depositing
improve improving derive deriving
improve improving design designing
improve improving detect detecting
improve improving determine determining
improve improving develop developing
improve improving discuss discussing
improve improving enhance enhancing
improve improving establish establishing
improve improving evaluate evaluating
improve improving examine examining
improve improving exhibit exhibiting
improve improving explain explaining
improve improving find finding
improve improving follow following
improve improving generate generating
improve improving have having
improve improving include including
improve improving increase increasing
improve improving indicate indicating
improve improving investigate investigating
improve improving make making
improve improving measure measuring
improve improving mix mixing
improve improving modify modifying
improve improving observe observing
improve improving obtain obtaining
improve improving perform performing
improve improving prepare preparing
improve improving present presenting
improve improving produce producing
improve improving propose proposing
improve improving provide providing
improve improving reduce reducing
improve improving reinforce reinforcing
improve improving report reporting
improve improving reveal revealing
improve improving show showing
improve improving study studying
improve improving suggest suggesting
improve improving transfer transferring
improve improving treat treating
improve improving use using
improve improving yield yielding
include including achieve achieving
include including allow allowing
include including analyze analyzing
include including anneal annealing
include including apply applying
include including approach approaching
include including behave behaving
include including calculate calculating
include including carry carrying
include including change changing
include including combine combining
include including compare comparing
include including confirm confirming
include including consider considering
include including control controlling
include including correspond corresponding
include including decrease decreasing
include including demonstrate demonstrating
include including depend depending
include including deposit depositing
include including derive deriving
include including design designing
include including detect detecting
include including determine determining
include including develop developing
include including discuss discussing
include including enhance enhancing
include including establish establishing
include including evaluate evaluating
include including examine examining
include including exhibit exhibiting
include including explain explaining
include including find finding
include including follow following
include including generate generating
include including have having
include including improve improving
include including increase increasing
include including indicate indicating
include including investigate investigating
include including make making
include including measure measuring
include including mix mixing
include including modify modifying
include including observe observing
include including obtain obtaining
include including perform performing
include including prepare preparing
include including present presenting
include including produce producing
include including propose proposing
include including provide providing
include including reduce reducing
include including reinforce reinforcing
include including report reporting
include including reveal revealing
include including show showing
include including study studying
include including suggest suggesting
include including transfer transferring
include including treat treating
include including use using
include including yield yielding
increase increasing achieve achieving
increase increasing allow allowing
increase increasing analyze analyzing
increase increasing anneal annealing
increase increasing apply applying
increase increasing approach approaching
increase increasing behave behaving
increase increasing calculate calculating
increase increasing carry carrying
increase increasing change changing
increase increasing combine combining
increase increasing compare comparing
increase increasing confirm confirming
increase increasing consider considering
increase increasing control controlling
increase increasing correspond corresponding
increase increasing decrease decreasing
increase increasing demonstrate demonstrating
increase increasing depend depending
increase increasing deposit depositing
increase increasing derive deriving
increase increasing design designing
increase increasing detect detecting
increase increasing determine determining
increase increasing develop developing
increase increasing discuss discussing
increase increasing enhance enhancing
increase increasing establish establishing
increase increasing evaluate evaluating
increase increasing examine examining
increase increasing exhibit exhibiting
increase increasing explain explaining
increase increasing find finding
increase increasing follow following
increase increasing generate generating
increase increasing have having
increase increasing improve improving
increase increasing include including
increase increasing indicate indicating
increase increasing investigate investigating
increase increasing make making
increase increasing measure measuring
increase increasing mix mixing
increase increasing modify modifying
increase increasing observe observing
increase increasing obtain obtaining
increase increasing perform performing
increase increasing prepare preparing
increase increasing present presenting
increase increasing produce producing
increase increasing propose proposing
increase increasing provide providing
increase increasing reduce reducing
increase increasing reinforce reinforcing
increase increasing report reporting
increase increasing reveal revealing
increase increasing show showing
increase increasing study studying
increase increasing suggest suggesting
increase increasing transfer transferring
increase increasing treat treating
increase increasing use using
increase increasing yield yielding
indicate indicating achieve achieving
indicate indicating allow allowing
indicate indicating analyze analyzing
indicate indicating anneal annealing
indicate indicating apply applying
indicate indicating approach approaching
indicate indicating behave behaving
indicate indicating calculate calculating
indicate indicating carry carrying
indicate indicating change changing
indicate indicating combine combining
indicate indicating compare comparing
indicate indicating confirm confirming
indicate indicating consider considering
indicate indicating control controlling
indicate indicating correspond corresponding
indicate indicating decrease decreasing
indicate indicating demonstrate demonstrating
indicate indicating depend depending
indicate indicating deposit depositing
indicate indicating derive deriving
indicate indicating design designing
indicate indicating detect detecting
indicate indicating determine determining
indicate indicating develop developing
indicate indicating discuss discussing
indicate indicating enhance enhancing
indicate indicating establish establishing
indicate indicating evaluate evaluating
indicate indicating examine examining
indicate indicating exhibit exhibiting
indicate indicating explain explaining
indicate indicating find finding
indicate indicating follow following
indicate indicating generate generating
indicate indicating have having
indicate indicating improve improving
indicate indicating include including
indicate indicating increase increasing
indicate indicating investigate investigating
indicate indicating make making
indicate indicating measure measuring
indicate indicating mix mixing
indicate indicating modify modifying
indicate indicating observe observing
indicate indicating obtain obtaining
indicate indicating perform performing
indicate indicating prepare preparing
indicate indicating present presenting
indicate indicating produce producing
indicate indicating propose proposing
indicate indicating provide providing
indicate indicating reduce reducing
indicate indicating reinforce reinforcing
indicate indicating report reporting
indicate indicating reveal revealing
indicate indicating show showing
indicate indicating study studying
indicate indicating suggest suggesting
indicate indicating transfer transferring
indicate indicating treat treating
indicate indicating use using
indicate indicating yield yielding
investigate investigating achieve achieving
investigate investigating allow allowing
investigate investigating analyze analyzing
investigate investigating anneal annealing
investigate investigating apply applying
investigate investigating approach approaching
investigate investigating behave behaving
investigate investigating calculate calculating
investigate investigating carry carrying
investigate investigating change changing
investigate investigating combine combining
investigate investigating compare comparing
investigate investigating confirm confirming
investigate investigating consider considering
investigate investigating control controlling
investigate investigating correspond corresponding
investigate investigating decrease decreasing
investigate investigating demonstrate demonstrating
investigate investigating depend depending
investigate investigating deposit depositing
investigate investigating derive deriving
investigate investigating design designing
investigate investigating detect detecting
investigate investigating determine determining
investigate investigating develop developing
investigate investigating discuss discussing
investigate investigating enhance enhancing
investigate investigating establish establishing
investigate investigating evaluate evaluating
investigate investigating examine examining
investigate investigating exhibit exhibiting
investigate investigating explain explaining
investigate investigating find finding
investigate investigating follow following
investigate investigating generate generating
investigate investigating have having
investigate investigating improve improving
investigate investigating include including
investigate investigating increase increasing
investigate investigating indicate indicating
investigate investigating make making
investigate investigating measure measuring
investigate investigating mix mixing
investigate investigating modify modifying
investigate investigating observe observing
investigate investigating obtain obtaining
investigate investigating perform performing
investigate investigating prepare preparing
investigate investigating present presenting
investigate investigating produce producing
investigate investigating propose proposing
investigate investigating provide providing
investigate investigating reduce reducing
investigate investigating reinforce reinforcing
investigate investigating report reporting
investigate investigating reveal revealing
investigate investigating show showing
investigate investigating study studying
investigate investigating suggest suggesting
investigate investigating transfer transferring
investigate investigating treat treating
investigate investigating use using
investigate investigating yield yielding
make making achieve achieving
make making allow allowing
make making analyze analyzing
make making anneal annealing
make making apply applying
make making approach approaching
make making behave behaving
make making calculate calculating
make making carry carrying
make making change changing
make making combine combining
make making compare comparing
make making confirm confirming
make making consider considering
make making control controlling
make making correspond corresponding
make making decrease decreasing
make making demonstrate demonstrating
make making depend depending
make making deposit depositing
make making derive deriving
make making design designing
make making detect detecting
make making determine determining
make making develop developing
make making discuss discussing
make making enhance enhancing
make making establish establishing
make making evaluate evaluating
make making examine examining
make making exhibit exhibiting
make making explain explaining
make making find finding
make making follow following
make making generate generating
make making have having
make making improve improving
make making include including
make making increase increasing
make making indicate indicating
make making investigate investigating
make making measure measuring
make making mix mixing
make making modify modifying
make making observe observing
make making obtain obtaining
make making perform performing
make making prepare preparing
make making present presenting
make making produce producing
make making propose proposing
make making provide providing
make making reduce reducing
make making reinforce reinforcing
make making report reporting
make making reveal revealing
make making show showing
make making study studying
make making suggest suggesting
make making transfer transferring
make making treat treating
make making use using
make making yield yielding
measure measuring achieve achieving
measure measuring allow allowing
measure measuring analyze analyzing
measure measuring anneal annealing
measure measuring apply applying
measure measuring approach approaching
measure measuring behave behaving
measure measuring calculate calculating
measure measuring carry carrying
measure measuring change changing
measure measuring combine combining
measure measuring compare comparing
measure measuring confirm confirming
measure measuring consider considering
measure measuring control controlling
measure measuring correspond corresponding
measure measuring decrease decreasing
measure measuring demonstrate demonstrating
measure measuring depend depending
measure measuring deposit depositing
measure measuring derive deriving
measure measuring design designing
measure measuring detect detecting
measure measuring determine determining
measure measuring develop developing
measure measuring discuss discussing
measure measuring enhance enhancing
measure measuring establish establishing
measure measuring evaluate evaluating
measure measuring examine examining
measure measuring exhibit exhibiting
measure measuring explain explaining
measure measuring find finding
measure measuring follow following
measure measuring generate generating
measure measuring have having
measure measuring improve improving
measure measuring include including
measure measuring increase increasing
measure measuring indicate indicating
measure measuring investigate investigating
measure measuring make making
measure measuring mix mixing
measure measuring modify modifying
measure measuring observe observing
measure measuring obtain obtaining
measure measuring perform performing
measure measuring prepare preparing
measure measuring present presenting
measure measuring produce producing
measure measuring propose proposing
measure measuring provide providing
measure measuring reduce reducing
measure measuring reinforce reinforcing
measure measuring report reporting
measure measuring reveal revealing
measure measuring show showing
measure measuring study studying
measure measuring suggest suggesting
measure measuring transfer transferring
measure measuring treat treating
measure measuring use using
measure measuring yield yielding
mix mixing achieve achieving
mix mixing allow allowing
mix mixing analyze analyzing
mix mixing anneal annealing
mix mixing apply applying
mix mixing approach approaching
mix mixing behave behaving
mix mixing calculate calculating
mix mixing carry carrying
mix mixing change changing
mix mixing combine combining
mix mixing compare comparing
mix mixing confirm confirming
mix mixing consider considering
mix mixing control controlling
mix mixing correspond corresponding
mix mixing decrease decreasing
mix mixing demonstrate demonstrating
mix mixing depend depending
mix mixing deposit depositing
mix mixing derive deriving
mix mixing design designing
mix mixing detect detecting
mix mixing determine determining
mix mixing develop developing
mix mixing discuss discussing
mix mixing enhance enhancing
mix mixing establish establishing
mix mixing evaluate evaluating
mix mixing examine examining
mix mixing exhibit exhibiting
mix mixing explain explaining
mix mixing find finding
mix mixing follow following
mix mixing generate generating
mix mixing have having
mix mixing improve improving
mix mixing include including
mix mixing increase increasing
mix mixing indicate indicating
mix mixing investigate investigating
mix mixing make making
mix mixing measure measuring
mix mixing modify modifying
mix mixing observe observing
mix mixing obtain obtaining
mix mixing perform performing
mix mixing prepare preparing
mix mixing present presenting
mix mixing produce producing
mix mixing propose proposing
mix mixing provide providing
mix mixing reduce reducing
mix mixing reinforce reinforcing
mix mixing report reporting
mix mixing reveal revealing
mix mixing show showing
mix mixing study studying
mix mixing suggest suggesting
mix mixing transfer transferring
mix mixing treat treating
mix mixing use using
mix mixing yield yielding
modify modifying achieve achieving
modify modifying allow allowing
modify modifying analyze analyzing
modify modifying anneal annealing
modify modifying apply applying
modify modifying approach approaching
modify modifying behave behaving
modify modifying calculate calculating
modify modifying carry carrying
modify modifying change changing
modify modifying combine combining
modify modifying compare comparing
modify modifying confirm confirming
modify modifying consider considering
modify modifying control controlling
modify modifying correspond corresponding
modify modifying decrease decreasing
modify modifying demonstrate demonstrating
modify modifying depend depending
modify modifying deposit depositing
modify modifying derive deriving
modify modifying design designing
modify modifying detect detecting
modify modifying determine determining
modify modifying develop developing
modify modifying discuss discussing
modify modifying enhance enhancing
modify modifying establish establishing
modify modifying evaluate evaluating
modify modifying examine examining
modify modifying exhibit exhibiting
modify modifying explain explaining
modify modifying find finding
modify modifying follow following
modify modifying generate generating
modify modifying have having
modify modifying improve improving
modify modifying include including
modify modifying increase increasing
modify modifying indicate indicating
modify modifying investigate investigating
modify modifying make making
modify modifying measure measuring
modify modifying mix mixing
modify modifying observe observing
modify modifying obtain obtaining
modify modifying perform performing
modify modifying prepare preparing
modify modifying present presenting
modify modifying produce producing
modify modifying propose proposing
modify modifying provide providing
modify modifying reduce reducing
modify modifying reinforce reinforcing
modify modifying report reporting
modify modifying reveal revealing
modify modifying show showing
modify modifying study studying
modify modifying suggest suggesting
modify modifying transfer transferring
modify modifying treat treating
modify modifying use using
modify modifying yield yielding
observe observing achieve achieving
observe observing allow allowing
observe observing analyze analyzing
observe observing anneal annealing
observe observing apply applying
observe observing approach approaching
observe observing behave behaving
observe observing calculate calculating
observe observing carry carrying
observe observing change changing
observe observing combine combining
observe observing compare comparing
observe observing confirm confirming
observe observing consider considering
observe observing control controlling
observe observing correspond corresponding
observe observing decrease decreasing
observe observing demonstrate demonstrating
observe observing depend depending
observe observing deposit depositing
observe observing derive deriving
observe observing design designing
observe observing detect detecting
observe observing determine determining
observe observing develop developing
observe observing discuss discussing
observe observing enhance enhancing
observe observing establish establishing
observe observing evaluate evaluating
observe observing examine examining
observe observing exhibit exhibiting
observe observing explain explaining
observe observing find finding
observe observing follow following
observe observing generate generating
observe observing have having
observe observing improve improving
observe observing include including
observe observing increase increasing
observe observing indicate indicating
observe observing investigate investigating
observe observing make making
observe observing measure measuring
observe observing mix mixing
observe observing modify modifying
observe observing obtain obtaining
observe observing perform performing
observe observing prepare preparing
observe observing present presenting
observe observing produce producing
observe observing propose proposing
observe observing provide providing
observe observing reduce reducing
observe observing reinforce reinforcing
observe observing report reporting
observe observing reveal revealing
observe observing show showing
observe observing study studying
observe observing suggest suggesting
observe observing transfer transferring
observe observing treat treating
observe observing use using
observe observing yield yielding
obtain obtaining achieve achieving
obtain obtaining allow allowing
obtain obtaining analyze analyzing
obtain obtaining anneal annealing
obtain obtaining apply applying
obtain obtaining approach approaching
obtain obtaining behave behaving
obtain obtaining calculate calculating
obtain obtaining carry carrying
obtain obtaining change changing
obtain obtaining combine combining
obtain obtaining compare comparing
obtain obtaining confirm confirming
obtain obtaining consider considering
obtain obtaining control controlling
obtain obtaining correspond corresponding
obtain obtaining decrease decreasing
obtain obtaining demonstrate demonstrating
obtain obtaining depend depending
obtain obtaining deposit depositing
obtain obtaining derive deriving
obtain obtaining design designing
obtain obtaining detect detecting
obtain obtaining determine determining
obtain obtaining develop developing
